time,pos_actual_yaw,vel_actual_yaw,accel_control_yaw,pos_goal_yaw,vel_goal_yaw,pos_predicted_yaw,vel_predicted_yaw,iterations_yaw,pos_actual_pitch,vel_actual_pitch,accel_control_pitch,pos_goal_pitch,vel_goal_pitch,pos_predicted_pitch,vel_predicted_pitch,iterations_pitch,shoot_flag,solve_time_ms
0,0,0,-60,-0.71288,1.57181,-0.0447777,-5.97036,10,0,0,38.5581,0.0184514,0.0259415,0.00433779,0.578371,10,0,0.333
0.005,-0.00075,-0.3,-60,-0.701864,1.62812,-0.0351326,-4.28434,10,0.000481976,0.19279,25.0994,0.0185655,0.0259295,0.00619751,0.569281,10,0,0.297
0.01,-0.003,-0.6,-60,-0.690581,1.68057,-0.0350734,-3.67646,10,0.00175967,0.318287,14.4018,0.0186997,0.0259167,0.00815418,0.534314,10,0,0.269
0.015,-0.00675,-0.9,-60,-0.679054,1.7291,-0.0371831,-3.15775,10,0.00353113,0.390296,6.21925,0.0188539,0.0259029,0.0100852,0.483585,10,0,0.128
0.02,-0.012,-1.2,-60,-0.667301,1.77365,-0.0442366,-3.09821,10,0.00556035,0.421392,0.236775,0.0190283,0.0258883,0.0119079,0.424944,10,0,0.124
0.025,-0.01875,-1.5,-60,-0.655343,1.81419,-0.0528127,-3.04169,10,0.00767027,0.422576,-3.88726,0.0192226,0.0258728,0.0135716,0.364267,10,0,0.115
0.03,-0.027,-1.8,-60,-0.643198,1.85065,-0.0647586,-3.23448,10,0.00973456,0.40314,-3.13755,0.0194365,0.0258563,0.0154287,0.356077,10,0,0.146
0.035,-0.03675,-2.1,-60,-0.630887,1.88301,-0.0769418,-3.25891,10,0.011711,0.387452,-5.71496,0.0196696,0.0258389,0.0168799,0.301728,10,0,0.147
0.04,-0.048,-2.4,-60,-0.618427,1.91123,-0.0892156,-3.09541,10,0.0135769,0.358877,-7.15286,0.0199214,0.0258206,0.0181553,0.251585,10,0,0.224
0.045,-0.06075,-2.7,-60,-0.605837,1.93526,-0.106347,-3.37965,10,0.0152818,0.323113,-4.58831,0.0201912,0.0258013,0.0196124,0.254288,10,0,0.207
0.05,-0.075,-3,-60,-0.593136,1.95509,-0.122093,-3.2791,10,0.0168401,0.300172,-5.61858,0.0204781,0.0257811,0.0207105,0.215893,10,0,0.072
0.055,-0.09075,-3.3,-60,-0.58034,1.97069,-0.13963,-3.21738,10,0.0182707,0.272079,-5.99612,0.0207814,0.0257599,0.0216773,0.182137,10,0,0.072
0.06,-0.108,-3.6,-60,-0.567469,1.98204,-0.163229,-3.76388,10,0.0195561,0.242098,-6.00808,0.0211,0.0257377,0.0225117,0.151977,10,0,0.093
0.065,-0.12675,-3.9,-60,-0.554539,1.98912,-0.183565,-3.67529,10,0.0206915,0.212058,-5.56379,0.021433,0.0257146,0.0232465,0.128601,10,0,0.112
0.07,-0.147,-4.2,-60,-0.541569,1.99192,-0.205748,-3.63309,10,0.0216823,0.184239,-4.92988,0.0217791,0.0256905,0.0238912,0.110291,10,1,0.076
0.075,-0.16875,-4.5,-60,-0.528575,1.99042,-0.234146,-4.21948,10,0.0225418,0.159589,-17.2404,0.0221374,0.0256654,0.0229961,-0.0990165,10,1,0.075
0.08,-0.192,-4.8,-60,-0.515577,1.98463,-0.257912,-3.98825,10,0.0231243,0.0733874,-11.9462,0.0225068,0.0256393,0.0228811,-0.105806,10,1,0.076
0.085,-0.21675,-5.1,-60,-0.50259,1.97453,-0.284536,-3.93819,10,0.0233419,0.0136564,-7.59675,0.0228859,0.0256122,0.0226921,-0.100295,10,1,0.075
0.09,-0.243,-5.4,-60,-0.489634,1.96013,-0.319325,-4.7767,10,0.0233152,-0.0243273,-42.9563,0.0232739,0.025584,0.0181177,-0.668672,10,1,0.075
0.095,-0.27075,-5.7,-60,-0.476727,1.94143,-0.35148,-5.06396,10,0.0226566,-0.239109,-26.7759,0.0236695,0.0255549,0.0160577,-0.640748,10,1,0.075
0.1,-0.3,-6,60,-0.463886,1.91844,-0.379167,-4.55563,10,0.0211264,-0.372989,-14.0321,0.0240717,0.0255247,0.0139529,-0.58347,10,1,0.1
